과목,분류,대상_식별자,질문_제목,질문_내용,답변,추가질문,재답변,날짜
특허법,조문,178조,(재심의 청구)에 관해 질문이있습니다.,"제178조 (재심의 청구) ①당사자는 확정된 심결에 대하여 재심을 청구할 수 있다. ② 「민사소송법」 제451조 및 동법 제453조의 규정은 제1항의 재심청구에 관하여 이를 준용한다 책p1149<인용> 권리범위에 속한다라는 권리범위확인 심판의 심결이 확정된 후 법원에서 침해가 아니다라고 판결하여도 위법한 판결이 아닌 것으로 보고있다.(각주216) 갹주 216 <인용> 민사재판에 있어서 이와 관련된 다른 권리범위확인심판사건 등의 확정심결에서 인정된 사실은 특별한 사정이 없는 한 유력한 증거자료가 되는것이나, 그 민사재판에서 제출된 다른 증거내용에 비추어 관련 권리범위확인심판사건 등의 확정심결에서의 사실판단을 그대로 채용하기 어렵다고 인정될 경우에는 이를 배척할 수 있다. __>재심 사유중에 ""특허취소결정 또는 심결의 기초로 된 민사 또는 형사의 판결이나 그 밖의 재판 또는 행정처분이 다른 재판 또는 행정 처분에의해 바뀐때""가 있는데,혹시 권리 범위 확인 심판의 심결이 판결에서 유력한 증거로 참고된 경우 재심사유가 될 수 있을까요? 답변 항상 감사드립니다~",안녕하세요? 임변입니다. 재심사유와 전혀 상관없습니다. 민소법 제451조제1항제8호가 특허법에서 적용되는 경우는 소급효로 인해 행정처분이 바뀐 경우로서 무효심결의 확정이나 정정심결의 확정이 있을 때를 말합니다. 열공하세요~, ,,17.07.17
특허법,조문,181조,재심에 의하여 회복된 특허권의 효력 제한,"안녕하세요 임병웅 변리사님, 181조 1항 2호의 '특허권의 권리범위에 속하지 아니한다는 심결이 확정된 후 재심에 의하여 그 심결과 상반되는 심결이 확정된 경우' 에서 질문이 있습니다. 이는 권리범위확인심판과 관련된 내용인 것으로 보이는데 권리범위확인심판은 감정의 역할 정도에 지나지 않는다고 배웠기 때문에 권리범위에 속하지 않는다는 심결이 확정되면 어떤 제한이 걸리는지 궁금합니다. 실질적으로는 권리범위확인심판의 결과는 특허권의 효력에 아무런 제한을 주지 못하는 것 아닌가요? 감사합니다.","안녕하세요? 임변입니다. 원래는 특허권의 효력에 제한을 주는 것으로 제도가 설계되었는데, 법원에서 이를 인정해 주지 않고 있는 것입니다. 입법적으로 문제가 있는 조항입니다. 열공하세요~", ,,17.09.14
특허법,문제,178조,재심의 대상,"안녕하세요 변리사님. 객관식 문제 438번에 5번에 대한 해설에 '재심의 청구는 확정된 심결에 대하여만 가능하므로, 불복심판이 제기되지 아니하였다면 재심의 대상이 되는 심결이 존재하지 아니하므로 재심의 방법으로 다툴 수 없다.'라고 되어있습니다. 그러나 최근 개정으로 '확정된 특허취소결정 또는 확정된 심결에 대하여 재심을 청구할 수 있다.'라고 되어있으니깐, 이 해설은 틀린 것 같습니다.",거절결정에 대해서는 심판을 청구하지 않았다면 재심을 청구할 수 없다는 내용입니다. 확정된 취소결정과는 별개의 사안입니다. 해설이 틀린 것은 아닙니다. 열공하세요~, ,,17.09.26
특허법,문제,183조,183조 문제 질문드립니다!,안녕하세요! 임병웅 변리사님! 문제를 풀다 궁금한 부분이 있어 질문을 드리게 되었습니다. 아래 사진에서 1번 지문의 해설은 이해를 했는데요.. 1번 지문의 어느 부분이 틀린 것인지 잘모르겠습니다..,"안녕하세요? 1번 지문은 법 제138조의 강제실시권의 성질에 관한 것이고, 문제는 법 제183조의 법정실시권에 대한 설명을 물어 보고 있습니다. 법정실시권은 오른쪽 1번 해설 그대로 이해하면 됩니다. 열공하세요~", ,,17.10.02
특허법,조문,181조,"재심의해 회복된 특허권의 효력제한 중, ""거절한다는 취지의 심결(결정)이 있었던 특허출원""","제181조(재심에 의하여 회복된 특허권의 효력 제한) ① 다음 각 호의 어느 하나에 해당하는 경우에 특허권의 효력은 해당 특허취소결정 또는 심결이 확정된 후 재심청구 등록 전에 선의로 수입하거나 국내에서 생산 또는 취득한 물건에는 미치지 아니한다. <개정 2016.2.29.> 1. 무효가 된 특허권(존속기간이 연장등록된 특허권을 포함한다)이 재심에 의하여 회복된 경우 2. 특허권의 권리범위에 속하지 아니한다는 심결이 확정된 후 재심에 의하여 그 심결과 상반되는 심결이 확정된 경우 3. 거절한다는 취지의 심결이 있었던 특허출원 또는 특허권의 존속기간의 연장등록출원이 재심에 의하여 특허권의 설정등록 또는 특허권의 존속기간의 연장등록이 된 경우 4. 취소된 특허권이 재심에 의하여 회복된 경우 181조의 취지는 특허권자가 특허권의 [무효심결, 권리범위 속하지 않는다는 심결, 거절취지 심결, 취소결정]에 의해 특허권을 행사할 수 없는 상황이었다가, 재심으로 결과를 뒤집는 바람에 특허권을 행사할 수 있게 된 상황이 된 경우로서 (즉, 심판관의 실수(?)로 혼란을 가져온 기간동안의 제3자의 설비보호 차원에서) 이에 대해 특허권의 효력을 제한하는 규정이라고 알고 있습니다. 근데 각호의 효력제한 규정에서 ""거절한다는 취지의 심결""에 대해 궁금합니다. 특허출원 후 거절결정통지를 받고는, 특허심판원에 거불심 청구 후 ""기각심결""을 받았다는 말인가요? 기각심결확정 후 재심을 청구하여 다시 등록심결을 받아냄으로서 다시 특허권을 행사할 수 있게 된 상황이 된 경우인것 같은데, 그러한가요? 저작자 표시컨텐츠변경비영리","말씀하신 특허심판원에서 거절결정이 확정된 경우뿐만 아니라, 특허법원, 대법원에서 거절결정이 확정된 경우까지 포함하는 개념입니다. 기본서의 심사종료 파트 그림 살펴 보면 설명이 자세히 되어 있습니다.", ,,17.10.06
특허법,문제,181조,질문있습니다. (객관식 844pg 문제),"갑은 폐수처리방법 X에 관하여 2011년 3월 15일자로 특허권 설정등록을 받았다. 을은 자기가 개발한 폐수처리방법 Y가 갑의 특허권의 권리범위에 속하지 않는다는 취지의 소극적 권리범위확인심판을 2011년 10월 9일자로 청구(단, 심판청구등록일은 2011년 10월 10일임)하여 2012년 12월 12일자로 인용심결이 확정되었다. 갑은 2013년 2월 8일자로 재심을 청구(단, 재심청구등록일은 2013년 2월 9일임)하여 2014년 3월 18일자로 소극적 권리범위확인심판청구를 기각한다는 심결등본을 송달받았다. 다음의 설명 중 틀린 것은 몇 개인가? 가. 을이 2012년 12월 20일부터 2014년 3월 20일까지 Y에 관한 사업을 한 경우 갑의 특허권을 침해한 것이 된다. 나. 을이 2012년 12월 20일부터 2013년 1월 20일까지 Y의 실시에만 사용하는 기계장치를 수입한 경우 갑의 특허권을 간접침해한 것이 된다. 이 두 지문이 틀린 지문이라는 것은 이해가 되는데요.. 해설 부분에서 지문과 같이 이 건 심판청구를 기각한다는 심결만으로 특허권의 침해라고 단정할 수 없다. 따라서 (가)(나)는 지문 자체로도 틀린 것이다. 라는 문장이 쓰여있는데 이 말뜻은 권리범위확인 심판의 심결 내용만 가지고 침해라고 할 수 없기 때문에 아예 침해나 간접침해, 법정실시권을 논할 필요조차도 없다라는 뜻인가요..? 정확히 이해한건가 헷갈려서요... 저작자 표시컨텐츠변경비영리",네. 맞습니다. 권리범위확인심판은 현재 감정의 역할 정도에 그치고 있는 것이 현실입니다. 열공하세요~, ,,17.10.09
특허법,조문,184조,재심에서의 심판규정 등의 준용,"특허추록 365페이지 내용입니다. 밑줄 친 ""기각심결""은 ""기각결정""이 아닌가요? 재심사유가 존재한 경우 일단 원특허취소결정,원심결을 파기해 놓고 다시 심리하는데, 파기된 결정 심결을 유지할 경우 특허취소결정에 대해서는 파기된 원특허취소절차의 기각결정과 똑같이 기각결정이 내려지는게 아닐까생각이 들어서요","네, 기각결정이네요~", ,,17.10.25
특허법,조문,181조,재심에 의한 특허권 효력제한 (속하지 않는다는 심결 후 상반된 심결) 과 관련하여...,"심판과 재심간에는 일사부재리 적용이 없는 건가요? [질문1] 그렇다면…소극권리범위확인심판의 확정된 심결에 대해 적극으로 재심청구 가능한가요? [질문2] 객관식 844p 해설을 읽다가 ""상반된 심결""에 대해 의문이 들어서 질문드립니다. 바로 아래에도 관련 질문이 있긴한데,, 조금 다른 질문입니다. 해설에….이 건 심판청구를 기각한다라는 심결만으로 특허권의 침해라고 단정할 수 없다. 고 써 있어서 181조 조문상에는 ""상반된 심결""이 요건임에 반해 문제에서는 ""기각한다는 심결""이 사실관계로 주어져서요. 심판피청구인(특허권자)이 재심청구(취지:""원 소극권리범위 확인심판을 기각한다는 심결을 주세요"")하여 심판원에서의 ""기각한다""는 심결도 상반된 심결이고 심판피청구인(특허권자)이 재심청구(취지:""속한다는 심결을 새로 내려주세요""=적극을 청구합니다.)하여 심판원에서의 ""속한다""는 심결이 내려진 경우도 상반된 심결인가요? [질문3] ※답변받고 수정함 결론적으로 844p (가)지문은 아래의 그림과 같이 풀어야 되는건지요?[질문4]","1. 적용됩니다. 2. 안 됩니다. 소극적 심판이 재심은 다시 소극적 심판입니다. 3. 네 4. 법 제181조, 제182조의 요건을 만족한다면 침해가 아니고, 만족하지 않더라도 침해라고 단정할 수 없다고 이해하면 됩니다.", ,,17.10.26
특허법,문제,178조,특허법 객관식 11판 836번 문제 질문입니다,안녕하세요 변리사님 객관식 836p 문제에서 1번 지문이 재심사유에 해당하지 않는 이유를 잘 모르겠습니다 제가 알기로는 일반 재심사유에 '심판의 합의체를 구성하지 아니한 때' 라는 사유가 있고 그 예로 심판관이 정족수를 갖추지 못한 심판부를 구성한 경우 등을 말하는것으로 알고 있는데요(이지 특허법 1189p 각주 251) 3인 내지 5인의 심판의 합의체가 구성되지 않은 경우는 발생할 여지가 없어서 재심사유에 해당되지 않는건가요? 추록이 2번 나온 시점에서 이게 단순한 오류인건지 아니면 제가 모르는 부분이 있는건지 확실하지 않아서 질문드립니다!,"안녕하세요? 해설에 있는 것과 같이 심판관합의체는 4인이 될 수 없습니다. <3 내지 5 = 3, 4, 5> 를 말합니다. 열공하세요~", ,,17.11.17
특허법,조문,181조,제181조(재심에 의하여 회복된 특허권의 효력 제한)에 관해 질문이 있습니다,"안녕하세요 임병웅 변리사님! 효력제한 부분을 읽다고 이해가 잘안되는 부분이 있어서 질문을 드립니다. 같은 책을 읽는데 왜 볼때마다 잘모르는 부분이 생기는지.... 제대로 눈을뜨고 책을 읽는지 의문이드네요.... 답변 항상 감사합니다. 재심에 의하여 회복된 특허권의 효력 제한 1)무효가 된 특허권(존속기간이 연장등록된 특허권을 포함한다)이 재심에 의하여 회복된 경우, 2)특허권의 권리범위에 속하지 아니한다는 심결이 확정된 후 재심에 의하여 그 심결과 상반되는 심결이 확정된 경우. 3) 거절한다는 취지의 심결이 있었던 특허출원 또는 특허권의 존속기간의 연장등록출원이 재심에 의하여 특허권의 설정등록 또는 특허권의 존속기간의 연장등록이 된 경우 및 4) 취소된 특허권이 재심에 의하여 회복된 경우 중 어느하나에 해당하는 경우에 특허권의 효력은 해당 특허취소결정 또는 심결이 확정된 후 재심청구 등록전에 1) 선의로 수입 또는 국내에서 생산하거나 취득한물건, 2)선의의 실시행위 및 3) 선의의 간접침해행위 중 어느 하나에 대해서는 미치지 아니한다.(법 181조) ---->특허권의 효력은 설정등록에 의해 발생한다고 배웠습니다. 만약 거절한다는 취지의 심결이 확정되면 설정등록을 하지 않으니 특허권의 효력이 발생하지도 않았는데, 어째서 효력을 제한하는지 이해가 잘안됩니다.....재심에 의해서 특허로 한다는 심결이 확정되어 특허권의 설정등록을 하는 경우에도 특허권의 효력은 그때부터 발생할텐데 조문에서 따로 효력을 제한한 이유가 궁금합니다. 혹시 보상금청구권의 행사를 제한하는 취지일까요?",안녕하세요? 네. 맞습니다. 보상금청구권도 인정하지 않겠다는 의미로 이해하면 됩니다. 열공하세요~, ,,17.11.24
