과목,분류,대상_식별자,질문_제목,질문_내용,답변,추가질문,재답변,날짜
특허법,조문,제29조,신규성과 진보성의 구별,(여기에 질문 내용을 적습니다),(여기에 답변을 적습니다),(추가 질문이 있으면 작성·없으면 비움),(재답변이 있으면 작성·없으면 비움),
특허법,조문,제64조,출원공개범위에 관하여,"강의시간에 출원공개는 최명도다 라고 이전부터 말씀하셨는데, 어떤 분은 최명도, 보정된 명도 모두다 출원공개한다고 한 말을 들어서 이것이 맞는 말인지 궁금합니다. ""원칙적으로""란 말과 ""10)"" 내용을 봐서는 경우에 따라서 최명도, 보정된 명도 모두 같이 공개한다는 어느 분의 말이 틀린 것 같지는 않아 보이기도 합니다.만약 제가 주워들은(?)말이 맞다면 그 경우에 모두다 같이 공개하는 것에 대한 논의의 실익이 있는지도 알고 싶습니다.","최명도, 보정된 명도가 다 같이 공개된다는 것은 어떻게 생각하면 맞고, 어떻게 생각하면 틀린 얘기입니다. 공개공보에 개재되는 발명은 최명도에 기재된 발명이며, 다만 보정후 명도에 기재된 발명을 알기 위해서는 특허청장에게 법 제216조에 의해 열람신청을 하여야 합니다.", ,,05.08.10
특허법,조문,제63조,거절이유의 특정,"교과서 p468 거절이유의 특정에서 ""법조문을 달리한다면 거절이유를 달리하며, 법조문을 같이하더라도 사실을 달리한다면 거절이유를 달리한다"" 와 관련하여 수업중에 설명해주신 예가... ""공지기술 A에 대한 진보성위반으로 최초거절이유 통지를 받은 후 (보정 없이) 의견서를 제출하고 공지기술 A와 B에 대한 진보성위반으로 다시 거절이유통지를 받을 경우 이 거절이유는 전의 거절이유와 다른 것이므로 다시 최초거절이유 통지를 받는다""는 것이었는데요. 이 경우 의견서 제출시 보정을 같이 한 것이라면 최후거절이유통지를 받는 것이겠죠?","임변입니다. 질문하신 내용은 case by case입니다. 예를 들어 공지기술 A의 구성요소가 a+b+c, 공지기술 B의 구성요소가 d+e, 출원발명의 최초 청구항의 구성요소가 a+b+c'였는데 출원인이 공지기술 A에 의해 진보성 위반으로 최초거절이유통지를 받고 a+b+c'+d+e로 보정을 한 경우 심사관은 공지기술 A와 공지기술 B의 결합에 의해 진보성 위반으로 최후거절이유통지를 할 수 있습니다. a+b+c'+d+e의 진보성 위반은 최초거절이유통지에 대응한 보정에 의해 새로 발생한 거절이유이기 때문입니다. 한편, 다른 예를 들면 공지기술 A의 구성요소가 a+b+c, 공지기술 B의 구성요소가 d+e, 출원발명의 최초 청구항의 구성요소가 a+b+c+d+e였는데, 출원인이 공지기술 A에 의해 진보성 위반으로 최초거절이유통지를 받고 출원인은 청구항을 보정한 것이 아니라 상세한 설명의 기재를 보정하면서(예를 들어, 오탈자 수정), 공지기술 A에 의해 진보성 위반이 아니라는 의견서를 제출했는데, 심사관이 이를 수긍하지만 공지기술 A와 공지기술 B를 결합한 경우 다시 진보성 위반이라면 최초거절이유통지를 할 수 있습니다. 공지기술 A와 공지기술 B를 결합에 의한 진보성 위반은 보정에 의해 발생한 새로운 거절이유가 아닌 보정과 무관하지만 원시적으로 존재하는 거절이유이기 때문입니다.", ,,05.10.30
특허법,조문,제76조,이의신청 부적법 보정,"76조1항에 보면 이의신청의 결정등본 송달전까지 라고 되어 있어 ""이의결정확정전"" 은 틀린 지문으로 나왔는데 뭐가 다른지요? ""심리종결통지전""(정정심판청구 보정가능기간)과도 어떻게 다른지... 이와 비슷한 것으로 참가의취하,심판취하----심결확정전 참가의신청,제척신청----심리종결전 인것이 심리종결후->심결확정전 인것을 알겠는데 이렇게 구별하는 실익이 전자가 후자보다 좀 더 중대한(?;;)거라 시간을 더 주는 건가요? 절차적인것을 책상 맡에서 공부하려니 알 듯 말 듯 햇깔리네요;;","""확정""이란 더 이상 불복할 수 없는 상태를 말합니다. 따라서, 시간상 많은 차이가 발생합니다. 예를 들어, 심리가 종결되어 심결이 있고, 그 등본이 송달되더라도 30일이 경과되어야만 심결이 확정되는 것입니다. 또한 30일 이내에 불복의 소를 제기하는 경우 심결이 특허법원에 계속중이고 아직 확정되지 않은 상태이게 됩니다.", ,,05.12.30
특허법,조문,제61조,우선심사청구의 전제로서의 출원공개,"HB p.411 18번 문제입니다. '甲은 01년 5월 1일 A를 출원했고, 아직 출원공개되지 않았다. 그런데 甲은, 乙이 02년 4월 1일에, 甲이 출원한 A를 실시하고 있다는 것을 발견했고, 甲은 실시를 준비 중이다' <- 이것이 문제의 상황입니다. 제가 궁금한 것은, 1번 지문인데요, 이는 맞다고 되어 있습니다. '甲,乙 모두 심사청구 및 우선심사청구를 할 수 있다. 이 경우 반드시 甲은 우선심사청구의 전제로서 출원공개를 해야 하는 것은 아니다'인데요.. 61조에 1호와 2호가 있는데, 1호가 '제3자의 무단실시의 경우'에 관한 것이지 않습니까. 이때 우선심사청구하려면, '심사청구' + '출원공개'가 되어야 가능한 것이라고 알고 있는데요.. 지문에서는 '출원공개를 해야 하는 것은 아니다'가 맞다고 되어 있어서 지문이 틀린 것인지, 제가 문제 해석을 잘못한 것인지 궁금해서 여쭤봅니다. 甲이 우선심사청구하려는 목적은 결국 61조 1호에 해당하는, 제3자(乙)의 무단실시를 막고자 하는 것 아니겠습니까? 그런데 왜 출원공개를 해야 하는 것은 아니다.. 가 맞는 것인가요?",법 제61조 제1호와 제2호 사유 모두 해당하기 때문에 제2호에 의해 우선심사를 청구하는 경우 꼭 출원공개를 해야 하는 것은 아닙니다., ,,06.02.01
특허법,조문,제77조,정정인용시 주문에 표시여부,"이의신청 심사중에 또는 무효심판중에 특허권자가 정정청구하여, 정정청구가 받아들여진 경우 이의결정문 또는 심결문 작성시 주문에도 정정청구가 인용되었다는 것을 표시하나요? 이지특허법을 보니 정정청구 인용시에는 주문에도 표시한다고 되어 있어서 궁금합니다. 정정불인정시에는 심결문의 이유 란에만 표시하는 걸로 알고 있는데, 정정인정시에는 이의결정문이나 심결문의 주문과 이유에 모두 표시하는 것인지 알고 싶습니다. 또한 주문에 표시하는 경우 어떻게 표시하나요? 예를 들어 무효심판의 경우 ""무효심판은 기각한다... 정정청구는 인용한다..."" 이런 식으로 표시하나요?","명확성을 위해 실제로 찾아봤는데 검색되는 것이 없네요. ""정정청구를 인용한다. 무효심판은 기각한다.""와 같이 판단하는 것이 맞다고 생각됩니다.^^;", ,,06.05.23
특허법,조문,제72조 2,"특허출원이 특허청구항 1개로 이루여졌는데, 그 청구항이 여러개의 발명으로 구성된 마쿠쉬청구항이라고 할 때, (A+B가 구성요소이고 A는 a1, a2, a3임) 이의신청인이 a1+B만을 신규성위반으로 이의신청한 경우, 심사관합의체가 a1+B는 이의사유가 아니고, a2+B에는 진보성의 거절이유가 있다고 판단되면, 직권심리하여 특허취소결정을 할 수 있나요? (제72조 제2항에서는 이의신청하지 않은 청구항에 대해서는 심리하지 못한다고 하는데, 마쿠쉬청구항은 여러개의 발명이 포함되어 있어, 제72조 제2항의 해석에 있어 이것을 1개의 청구항으로 해석해야 하는지 아니면 다른 발명이니까 여러개의 청구항으 로 유추하여 직권심리가 불가하다고 해야 하는지 궁금합니다. 조성광 변리사님은 GS에서 이러한 경우 여러개의 발명으로 구성되어 있으므로 다른 발명 에 대해서는 직권심리 못한다고 하는데, 전 법조문 그대로 해석해야 된다고 생각하는데...) 또한 만약 상기 이의신청에서 a1+B만이 처음 신청이유인 신규성 위반되었다고 판단될때, 심사관합의체는 마치 청구항별 심판이 가능한 것처럼, a1+B만을 취소결정하는 것인지, 아니면 신규성을 위반하지 않은 다른 발명들(a2+B, a3+B)도 모두 하나로 보아, 전체 청구항을 특허취소결정을 하는 것인지 궁금합니다.",,"1. 가정이 틀린 것 같습니다. A B에 대해서 이의신청을 하는 것이지, a1 B에 대해서 이의신청을 하지는 않습니다. 2. a1 B만 신규성 위반인 경우에도 A B 전체를 취소결정합니다.", ,,06.06.09
특허법,조문,제64조 2항,정보제공의 시기,"<질문1> 기본서에 보면 정보제공은 출원공개후 특허권 설정등록시까지 할 수 있다고 하는데요. 그렇다면, 특허출원하여 심사중에는 할 수 있고, 만약 거절된 후 거절결정불복심판중에도 할 수 있나요? 또한 이에 대한 심결취소소송중에는 어떤가요? 제 생각엔 아무리 기본서에 특허권 설정등록시까지 할 수 있다고 했어도, 정보제공은 특허청장에게 하는 건데, 심판중이나 특허법원에 계속중인 경우에는 정보제공을 할 수 없을 것 같은데, 실제는 어떤지 궁금합니다. <질문2> 2006.10.1일부터 시행되는 특허법에서는 ""정보제공""제도인 제64조 제2항이 삭제되었 는데, 그 이유가 무엇인가요?","1. 정보제공은 어디든 가능하다고 보입니다. 다만, 심결취소소송은 제한설의 입장이기 때문에 정보제공을 할 실익이 없습니다. 2. 63조의2가 신설되면서 출원공개와 상관없이 정보제공을 할 수 있게 되었습니다", ,,06.06.25
특허법,조문,제69조,특허이의신청,특허이의신청 방식심사의 주체가 누구인지 궁금해서 이렇게 질문을 드립니다. 절차상으로 본다면 방식심사 이전에 심사관합의체와 심사장을 지정하고 총괄사무의 주체가 심사장인 까닭에 심사장인것 같기도 하지만... 이의신청에서 제141조[심판청구서의 각하]를 준용하지 않는 것과 특허이의신청서의 보정명령 및 불수리 처분을 특허청장이 행하는 것을 보면 아무래도 특허청장인듯 해서요. 어느 표에서 본거 같은데.. 이의신청과 심판을 비교하며 이의신청의 방식심사 주체가 심사장으로 기록되있었던 것 같아 더욱 궁금해졌습니다,"실제로는 심사장이 다 하지만, 각각 처분에 대한 명의가 다르다고 생각하십시오", ,,06.11.26
특허법,조문,제69조,이의신청사유,"Q1. 87조 1항 단서라고 하는 표현이 87조 1항 각호의 내용이라고 보면 되는 건가요 ? Q2. 만약에 각호의 내용(특허료 납부관련사항)이 이의신청사유라면, 특허권자 또는 설정등록을 받고자 하는 자가 특허료를 79조, 81조, 81조의 2, 81조의 3 등에 의한 특허료를 내지 않았다는 것을 제3자가 어떻게 알고 이의신청을 하는 건가요 ? ;;",제87조 제2항 단서는 개정됨에서 삭제되었기 때문에 사문화되었다고 생각하시면 됩니다, ,,06.11.27
특허법,문제,제73조,이의신청시 실체심사의 주체,"문제집을 풀다가 해깔리는게 있어서 글 올립니다. 문제집 지문중 심사관은 병의 이의 신청에 대해서는 일차적으로 각하결정을하고, 을 및 병의 이의 신청에 대해서는 병합하여 심사할 수 있다. 란 지문이 있고 맞게 되어 있으면서 해설에 심사관은 2이상의 이의 신청을 병합하거나 분리하여 심사 또는 결정을 할 수 있다. 라고 되어 있는데 위 지문에서 심사관합의체가 아니라 심사관이라고 해도 맞다고 해야하나요??",가장 틀린 지문을 고르십시오. 정확히 말하면 당연히 틀렸겠지요., ,,06.12.06
특허법,조문,"제69조, 제70조",이의신청절차에서 취지통지 및 부본 송달,"Q1) 일단, 등록권리자에게 취지통지(69조3항)와 특허권자에게 부본송달(70조2항)은 심사장이 같은 시기에 동시에 하는 것이 맞는 것인가요 ? 그리고 방식심사에서 보정가능한 흠결(46조)과 시규11에 해당하는 불수리 사유는 특허청장이 방식심사시 판단하는 것이기 때문에 아직 이의신청을 담당할 심사관 조차 지정하지 않은 상황에서 하는 방식심사이므로, 취지통지와 부본송달 보다는 먼저 행하여 질테니까, 방식심사부터 먼저 할 것 같습니다.. 그런데 78의 2에서 준용하는 142조(시규11에 해당하지 않는 부적법한 이의신청의 결정각하)에서는 특허권자에게 답변서 제출기회도 주지 않고 이의신청을 결정으로 각하할 수 있다고 나와있는데, Q2) 심사관합의체가 시규 11에 해당하지 않는 부적법한 이의신청을 방식심사 후 결정각하할 때에는, 방식심사와 취지통지 및 부본송달은 순서에 얽매이지 않고 행할 수 있는 것인가요 ? 심사장이 행하는 이의신청서의 결정각하(74조 2항)에서 이의신청인이 이유 및 증거를 제출하지 아니한 때에는 이의신청기간 경과후 결정으로 각하할 수 있다라고 하는데, Q3) 74조 2항에 의한 이의신청서의 결정각하에서는, 취지통지 및 부본송달은 하지 않고, 이의신청기간까지 기다렸다가 이의신청서를 결정각하하는 건가요? (이유 및 증거가 제출되지 않은 상태니까.. 등록권리자에게 취지통지는 할 수 있을 것 같지만.. 이유 및 증거가 없으니까 부본송달을 해서 답변서 제출기회를 줄 수는 없는 듯 해서 헷갈리네요..) 결론적으로, Q4) 위에 방식심사와 부본송달 및 취지통지의 순서는 어떤 순으로 행하여 지는 것인가요 ? (제 생각으로는, 특허청장의 방식심사 -> 심사관의 지정 -> 심사장에 의한 방식심사 (이유 및 증거 미제출시 심사장에 의한 이의신청서 결정각하) -> (취지통지 및 부본송달 + 심사관합의체의 방식심사 후 부적법한 이의신청 결정각하) 이런 순으로 될 것 같다고 생각을 해보았는데요.., 항상 혼자 생각한 것을 믿다가는 피박을 쓰기 때문에 이렇게 길게 질문드립니다.(--) (__);)","1. 방식심사를 먼저 한 후 수리가 된 경우 부본 송달 및 답변서 제출기회를 줍니다. 2. 답변서 제출기회를 주기 전에도 할 수 있고 준 후에도 결정각하를 할 수 있습니다. 3. 조문에 보면 ~~할 수 있다.라고 규정되어 있는데, 이는 취지통지 및 부본송달 전 결정각하할 수도 있고 후에 결정각하할 수도 있다는 의미입니다. 4. 생각하신 내용이 전체적으로 맞는 것 같네요", ,,06.12.25
