과목,분류,대상_식별자,질문_제목,질문_내용,답변,추가질문,재답변,날짜
특허법,조문,230조,230조 양벌규정 조문 질문 있습니다.,,230조 양벌규정 조문 질문 있습니다.안녕하세요? 임변입니다. 양벌규정은 개정되지 않았습니다. 법을 개정하시는 분들이 참 일관성이 부족해 보이네요^^. 열공하세요~, ,,17.07.25
특허법,문제,225조,침해죄,"안녕하세요 임병웅 변리사님 특허 객관식 문제집 풀다가 의문사항이 생겨 질문드립니다. 객관식 586번 문제 3번과 4번보기 입니다. 문제에서 옳은 것을 고르라고 했고 답은 4번이었습니다. 1번 질문: 3번보기 : 피고인이 생산 등을 하는 물건 또는 사용하는 방법(이하 침해제품 등 이라고 한다)이 특허발명의 특허권을 침해하였는지가 문제로 되는 특허법위반 사건에서 다른 사실과 식별이 가능하도록 범죄 구성요건에 해당하는 구체적 사실을 기재하였다고 하기 위해서는 침해의 대상과 관련하여 특허등록번호를 기재하는 방법 등에 의하여 침해의 대상이 된 특허발명을 특정할 수 있어야 하고, 침해의 태양과 관련하여서는 침해제품 등의 제품명, 제품번호 등을 기재하거나 침해제품 등의 구성을 기재하는 방법 등에 의하여 침해제품 등을 다른 것과 구별할 수 있을 정도로 특정할 수 있어야 한다. 3번 해설 대법원 2016.5.26.선고 2015도17674 라고 되어있는데, 이건 3번 지문이 맞다는 건가요??4번이 맞다고 되어있는데, 3번보기에 해당하는 해설에서 이렇게만 되어있어서 어느 부분이 틀린지를 모르겠습니다.. 2번 질문: 4번 보기: 청구범위에 그 효과 달성에 필요한 필수구성요소가 모두 기재되었다고 볼 수 없는 발명의 경우 그 특허를 무효로 하는 심결이 확정되기 전이라도 그 특허발명과 동일 또는 균등한 관계에 있는 발명을 실시하는 행위는 특허권 침해죄를 구성하지 않는다. 4번 보기가 왜 정답인지 잘 모르겠습니다. AER이 아닌 균등침해에는 침해죄를 구성하지 않는다는 것인가요? 고의 과실이 있어도 AER이 아닌 균등침해에는 침해죄가 성립하지 않는다는 뜻인가요?? 답변해주실것에 미리 감사드립니다. 저작자 표시컨텐츠변경비영리",둘 다 답입니다. 수험자료에 있는 정오표 꼭 확인하세요~, ,,18.01.27
특허법,조문,225조,권리범위가 인정되지 않는 경우의 침해성립여부,저는 아래의 판례를 1)동일성실기 중 '기'에 해당하므로 특허권은 유효하더라도 권리범위가 인정되지 않아서 침해 성립X 2)진보성 흠결인 경우에도 권리행사는 제재되므로 동일성실기인 경우에도 당연히 권리행사 불가(침해성립 주장 불가) 위의 둘 중 어느 하나로 해석..할 수 있다고 생각했는데 어떤 게 맞나요? 혹은 둘다 틀리고ㅠㅠ 어떻게 받아들이면 좋을지 도움 부탁드립니다. 감사합니다! 청구범위에 그 효과 달성에 필요한 필수구성요소가 모두 기재되었다고 볼 수 없는 발명의 경우 그 특허를 무효로 하는 심결이 확정되기 전이라도 그 특허발명과 동일 또는 균등한 관계에 있는 발명을 실시하는 행위는 특허권 침해죄를 구성하지 않는다,전자가 맞습니다~, ,,18.01.28
특허법,조문,225조,전자가 맞습니다~침해죄 포괄일죄의 의미,안녕하세요 변리사님! 포괄일죄의 정확한 의미가 궁금하여 질문드립니다 침해행위가 수회에 걸쳐 일어난 경우 포괄하여 1죄가 성립된다고 배웠습니다! 제3자가 특허권자의 청구항1에 있는 발명을 무단으로 업으로서 실시한 후에 동일특허권의 다른청구항에 기재되어있는 다른발명도 수회에 걸쳐 무단으로 실시한 경우 이경우도 포괄하여 1개의 침해죄만이 성립되고 7년이하징역이나 1억이하벌금으로 처벌받는 것이 맞나요? 답변 미리감사드립니다!,안녕하세요? 네. 맞습니다., ,,20.02.29
특허법,조문,225조,침해죄 개정 (기소여부 문의),"올려주신 자료 읽어보고, 궁금한 점이 있어 문의드립니다. 피해자의 명시적인 의사에 반하여, 공소를 제기할 수 없다고 소극적으로 규정되었으므로 피해자가 기소에 대해서 의사표시를 하지 않아도, 기소를 할 수 있다는데 의의가 있는걸까요? 검토의견을 읽어보니, 친고죄는 피해자의 고소가 있어야 기소할 수 있었던 문제가 있었다고 기재되어 문의드립니다.",네. 수사와 기소를 고소가 없어도 할 수 있다는 것입니다., ,,20.11.21
특허법,문제,225조,225조 개정 문의입니다,"올해객관식 611에서도 1과 5 둘다 정답인거죠? 613,615,630,632 도 수정이 필요한듯하고요 정오표에 없는거같아서요","네, 친고죄가 반의사불벌죄로 바뀐 부분은 별도로 추록을 발간하지 않습니다. 학원 공지사항을 참고하세요~", ,,20.12.05
특허법,조문,225조,침해죄 공소시효 문의드립니다,,"고소가 없어도 처벌할 수 있기 때문에, 공소시효는 적용되지 않습니다. 추록 한 번 읽어 보세요.", ,,21.01.25
특허법,조문,226조,전문심리위원 비밀누설죄,임병웅 변리사님께 질문드립니다. 올해 객관식 632번 ㅅ.에서 '전문심리위원 또는 전문심리위원이었던 자가 그 직무수행 중에 알게 된 다른 사람의 비밀을 누설하는 경우에는 2년 이하의 징역이나 금고 또는 1천만원 이하의 벌금에 처한다' 라고 되어있습니다. 비밀누설죄는 5년이하의 징역이나 5천만원이하 벌금이라고 알고있는데 제가 잘못알고 있는 것인지 궁금합니다.,전문심리위원제도가 들어오는 법이 개정되면서. 신설된 조항입니다., ,,21.09.15
특허법,조문,231조,[231조] 몰수 규정 관련 질문,"임병웅 변리사님, 안녕하십니까. 제231조(몰수 등) ① 제225조제1항에 해당하는 침해행위를 조성한 물건 또는 그 침해행위로부터 생긴 물건은 몰수하거나 피해자의 청구에 따라 그 물건을 피해자에게 교부할 것을 선고하여야 한다. ② 피해자는 제1항에 따른 물건을 받은 경우에는 그 물건의 가액을 초과하는 손해액에 대해서만 배상을 청구할 수 있다. [전문개정 2014. 6. 11.] 여기에서 231조 2항과 관련하여 질문이 있습니다. 2항의 ' 제 1항에 따른 물건을 받은 경우' 의 의미는 1항에서 피해자의 청구에 따라 피해자가 침해행위를 조성한 물건 또는 그 침해행위로부터 생긴 물건을 교부받은 경우를 말하는 건데 그렇다면 교부받지 않고 몰수만 한 경우에는 피해자가 손해배상 청구할 때 231조 2항을 적용하는 것이 아니라 '그 물건의 가액+초과액'을 청구하는 것이 가능하다는 의미인가요? 항상 감사드립니다 임병웅 변리사님","네, 당연히 가능합니다.", ,,22.12.22
특허법,조문,223조,특허표시,"[223] 특허표시에서 제1항 또는 제2항에 따른 특허표시 또는 특허출원표시를 할 수 없는 물건의 경우에는 그 물건의 용기 또는 포장에 특허표시 또는 특허출원표시를 할 수 있다.라 하여 물건 또는 물건의 포장에 표시를 할 수 있다 라고 하는데 대부분 선택지에서는 물건발명의 경우 물건에, 제법발명의 경우 물건 또는 그 포장에 표시할 수 있다고 한다. 물건발명의 포장에 특허표시를 언급하지 않던데 그 이유가 있는가?","물건 포장도 물건의 일부분이 되니, 당연히 물건 포장에 특허표시를 할 수 있습니다. 열공하세요~", ,,23.01.18
